rent_price,m2,Deposit,Type_of_building,room_number,Building_material,Year_of_construction,floor,windows,Number_of_floors,Heating,media,security,link_2,Additional_information,Equipment,location,latitude,longitude
2300.0,60.0,2900.0,blok,3.0,wielka płyta,1974.0,1.0,plastikowe,10.0,miejskie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",https://www.otodom.pl/pl/oferta/mieszkanie-3pok-60m2-po-remoncie-ul-1-sierpnia-ID4dvjm,"balkon, winda","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","1 Sierpnia, Okęcie, Włochy, Warszawa, województwo mazowieckie, 02-134, Polska",52.1935047,20.9721158
2600.0,57.0,2600.0,kamienica,2.0,cegła,,1.0,plastikowe,2.0,gazowe,,"teren zamknięty, domofon / wideofon",https://www.otodom.pl/pl/oferta/swiezo-wyremontowane-mieszkanie-na-wawrze-ID4dvjt,,"zmywarka, lodówka, piekarnik, kuchenka, pralka","Wawer, Warszawa, województwo mazowieckie, Polska",52.2203581,21.1370825
2700.0,50.0,3000.0,kamienica,2.0,cegła,1951.0,3.0,plastikowe,3.0,miejskie,,"drzwi / okna antywłamaniowe, domofon / wideofon",https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-z-charakterem-ID3VCd6,"tylko dla niepalących, oddzielna kuchnia","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Plac Hallera, Praga II, Nowa Praga, Praga-Północ, Warszawa, województwo mazowieckie, Polska",52.26035525,21.028446093071437
3200.0,73.0,3200.0,blok,3.0,cegła,1958.0,,plastikowe,2.0,miejskie,internet,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/piekne-mieszkanie-na-grochowie-ID4dviB,"taras, pom. użytkowe","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Szklanych Domów, Grochów, Grochów-Centrum, Praga-Południe, Warszawa, województwo mazowieckie, 04-346, Polska",52.2510926,21.0965627
3000.0,84.9,3000.0,kamienica,2.0,cegła,1990.0,2.0,drewniane,2.0,gazowe,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",https://www.otodom.pl/pl/oferta/mieszkanie-w-najlepszej-lokalizacji-warszawy-ID4dluc,"piwnica, tylko dla niepalących, oddzielna kuchnia, dwupoziomowe, pom. użytkowe","zmywarka, lodówka, piekarnik, kuchenka, pralka","173, Nowoursynowska, Stary Służew, Ursynów, Warszawa, województwo mazowieckie, 02-787, Polska",52.1662745,21.04106340989953
1300.0,30.0,1700.0,blok,1.0,,1970.0,9.0,plastikowe,10.0,miejskie,,"drzwi / okna antywłamaniowe, domofon / wideofon",https://www.otodom.pl/pl/oferta/zamieszkaj-w-zielonej-i-cichej-okolicy-ID4d04v,winda,"lodówka, meble, piekarnik, kuchenka, pralka","Żoliborz, Warszawa, województwo mazowieckie, Polska",52.2675944,20.9796975
2500.0,45.0,3000.0,blok,2.0,,,5.0,drewniane,6.0,miejskie,,"teren zamknięty, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/piekne-mieszkanie-blisko-parku-z-pieknym-widokiem-ID4d8AI,"balkon, winda","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Ochota, Warszawa, województwo mazowieckie, Polska",52.212225,20.9726299
2200.0,22.0,2200.0,blok,1.0,,,5.0,drewniane,6.0,miejskie,,"teren zamknięty, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/urocza-kawalerka-przy-parku-ID4d9rc,"garaż/miejsce parkingowe, winda","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Ochota, Warszawa, województwo mazowieckie, Polska",52.212225,20.9726299
2070.0,48.0,2700.0,blok,2.0,,2009.0,5.0,plastikowe,11.0,miejskie,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/widok-3d-przytulne-mieszkanie-w-super-lokalizacji-ID4doYK,"klimatyzacja, balkon, winda","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Wola, Warszawa, województwo mazowieckie, Polska",52.2362379,20.9547815
5500.0,76.0,5500.0,apartamentowiec,4.0,,,7.0,,8.0,,,"teren zamknięty, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/sloneczny-apartament-mennica-residence-grzybowska-ID4dvih,"balkon, piwnica, garaż/miejsce parkingowe, winda",meble,"Grzybowska, Mirów, Wola, Warszawa, województwo mazowieckie, 00-001, Polska",52.2338231,20.9856268
